Image,Class,Confidence,BBox (xyxy),Status
dataset\train\images\Ketamine_16_jpg.rf.b73d82ff80de96e80e9c91c0c2b7c5a9.jpg,Ketamine,0.91,"[5.857617378234863, 219.919921875, 294.9423828125, 505.038330078125]",
dataset\train\images\Ketamine_16_jpg.rf.b73d82ff80de96e80e9c91c0c2b7c5a9.jpg,Ketamine,0.88,"[64.7171859741211, 0.0, 364.25830078125, 330.67449951171875]",
dataset\train\images\Ketamine_16_jpg.rf.b73d82ff80de96e80e9c91c0c2b7c5a9.jpg,Ketamine,0.61,"[296.35894775390625, 269.0752868652344, 488.398681640625, 507.3641662597656]",
dataset\train\images\Ketamine_16_jpg.rf.b73d82ff80de96e80e9c91c0c2b7c5a9.jpg,Ketamine,0.55,"[368.6857604980469, 26.816333770751953, 511.1656188964844, 365.5852966308594]",
dataset\train\images\Ketamine_16_jpg.rf.b73d82ff80de96e80e9c91c0c2b7c5a9.jpg,Ketamine,0.29,"[381.5814208984375, 26.743408203125, 511.4351501464844, 256.2947692871094]",
dataset\train\images\Ketamine_16_jpg.rf.df529cc3d8652e1cc1490cadb7837db7.jpg,Ketamine,0.67,"[150.009521484375, 208.0515594482422, 474.04559326171875, 511.33709716796875]",
dataset\train\images\Ketamine_16_jpg.rf.df529cc3d8652e1cc1490cadb7837db7.jpg,Ketamine,0.55,"[4.228894233703613, 317.8368225097656, 146.19259643554688, 507.0478515625]",
dataset\train\images\Ketamine_16_jpg.rf.df529cc3d8652e1cc1490cadb7837db7.jpg,Ketamine,0.48,"[91.56612396240234, 0.0, 405.06707763671875, 322.60894775390625]",
dataset\train\images\Ketamine_16_jpg.rf.e2901fc3bc8d0ec4e570b174ed1aaa3c.jpg,Ketamine,0.84,"[185.50112915039062, 13.416357040405273, 461.9515686035156, 361.029052734375]",
dataset\train\images\Ketamine_16_jpg.rf.e2901fc3bc8d0ec4e570b174ed1aaa3c.jpg,Ketamine,0.74,"[21.707469940185547, 259.91748046875, 177.89505004882812, 504.49578857421875]",
dataset\train\images\Ketamine_16_jpg.rf.e2901fc3bc8d0ec4e570b174ed1aaa3c.jpg,Ketamine,0.72,"[202.98794555664062, 260.3651428222656, 468.3299865722656, 512.0]",
dataset\train\images\Ketamine_16_jpg.rf.e2901fc3bc8d0ec4e570b174ed1aaa3c.jpg,Ketamine,0.68,"[10.912206649780273, 4.931616306304932, 144.61141967773438, 199.45083618164062]",
dataset\train\images\Ketamine_16_jpg.rf.e2901fc3bc8d0ec4e570b174ed1aaa3c.jpg,Ketamine,0.60,"[10.630945205688477, 1.2541015148162842, 146.55172729492188, 319.3299255371094]",
dataset\train\images\Ketamine_16_jpg.rf.e2901fc3bc8d0ec4e570b174ed1aaa3c.jpg,Ketamine,0.26,"[14.02862548828125, 141.18655395507812, 142.3798370361328, 318.2225036621094]",
dataset\train\images\Ketamine_17_jpg.rf.07de66dcbb7e76ea5f33b52ead685861.jpg,Ketamine,0.92,"[78.85111999511719, 243.45913696289062, 297.2344665527344, 507.395263671875]",
dataset\train\images\Ketamine_17_jpg.rf.07de66dcbb7e76ea5f33b52ead685861.jpg,Ketamine,0.86,"[394.1439514160156, 0.0, 512.0, 323.2259826660156]",
dataset\train\images\Ketamine_17_jpg.rf.07de66dcbb7e76ea5f33b52ead685861.jpg,Ketamine,0.84,"[79.79756164550781, 0.0, 311.263671875, 340.1029052734375]",
dataset\train\images\Ketamine_17_jpg.rf.07de66dcbb7e76ea5f33b52ead685861.jpg,Ketamine,0.80,"[392.0693664550781, 256.14593505859375, 512.0, 506.16961669921875]",
dataset\train\images\Ketamine_17_jpg.rf.1887f585ec447faa66df7766714e3d80.jpg,Ketamine,0.72,"[338.7506408691406, 4.968798637390137, 505.7635192871094, 311.05682373046875]",
dataset\train\images\Ketamine_17_jpg.rf.1887f585ec447faa66df7766714e3d80.jpg,Ketamine,0.69,"[19.739940643310547, 7.107421875, 330.84478759765625, 358.99713134765625]",
dataset\train\images\Ketamine_17_jpg.rf.1887f585ec447faa66df7766714e3d80.jpg,Ketamine,0.54,"[381.48956298828125, 253.64932250976562, 511.17333984375, 490.9954528808594]",
dataset\train\images\Ketamine_17_jpg.rf.1887f585ec447faa66df7766714e3d80.jpg,Ketamine,0.38,"[110.8677749633789, 317.19317626953125, 373.4056091308594, 512.0]",
dataset\train\images\Ketamine_17_jpg.rf.1887f585ec447faa66df7766714e3d80.jpg,Ketamine,0.34,"[332.3953552246094, 9.391552925109863, 497.749755859375, 229.09262084960938]",
dataset\train\images\Ketamine_17_jpg.rf.1887f585ec447faa66df7766714e3d80.jpg,Ketamine,0.31,"[34.144287109375, 145.60806274414062, 338.2154846191406, 386.640380859375]",
dataset\train\images\Ketamine_17_jpg.rf.3446900f7c0f5176b5ac1cf0b2ddb2fe.jpg,Ketamine,0.87,"[118.9205093383789, 57.48823165893555, 507.528564453125, 346.9444885253906]",
dataset\train\images\Ketamine_17_jpg.rf.3446900f7c0f5176b5ac1cf0b2ddb2fe.jpg,Ketamine,0.84,"[0.951831042766571, 24.652563095092773, 187.6182098388672, 308.481689453125]",
dataset\train\images\Ketamine_17_jpg.rf.3446900f7c0f5176b5ac1cf0b2ddb2fe.jpg,Ketamine,0.61,"[113.40174865722656, 392.263916015625, 478.4400329589844, 512.0]",
dataset\train\images\Ketamine_17_jpg.rf.3446900f7c0f5176b5ac1cf0b2ddb2fe.jpg,Ketamine,0.54,"[247.9956512451172, 68.1130142211914, 500.94549560546875, 346.9455871582031]",
dataset\train\images\Ketamine_17_jpg.rf.3446900f7c0f5176b5ac1cf0b2ddb2fe.jpg,Ketamine,0.44,"[1.701074242591858, 377.09405517578125, 468.67156982421875, 512.0]",
dataset\train\images\Ketamine_17_jpg.rf.3446900f7c0f5176b5ac1cf0b2ddb2fe.jpg,Ketamine,0.36,"[0.4211059510707855, 352.11163330078125, 169.78138732910156, 508.18505859375]",
dataset\train\images\Ketamine_17_jpg.rf.5e6966f4d6e6a7d2eeccf39b139df860.jpg,Ketamine,0.90,"[212.62124633789062, 239.103515625, 504.45025634765625, 511.68359375]",
dataset\train\images\Ketamine_17_jpg.rf.5e6966f4d6e6a7d2eeccf39b139df860.jpg,Ketamine,0.85,"[2.26123046875, 167.45059204101562, 334.8423767089844, 503.10931396484375]",
dataset\train\images\Ketamine_17_jpg.rf.5e6966f4d6e6a7d2eeccf39b139df860.jpg,Ketamine,0.75,"[289.69549560546875, 26.642309188842773, 509.46893310546875, 238.25369262695312]",
dataset\train\images\Ketamine_17_jpg.rf.5e6966f4d6e6a7d2eeccf39b139df860.jpg,Ketamine,0.49,"[239.2631378173828, 21.183813095092773, 511.0517578125, 301.2572326660156]",
dataset\train\images\Ketamine_17_jpg.rf.5e6966f4d6e6a7d2eeccf39b139df860.jpg,Ketamine,0.48,"[24.904590606689453, 6.598388671875, 355.781982421875, 241.6928253173828]",
dataset\train\images\Ketamine_17_jpg.rf.5e6966f4d6e6a7d2eeccf39b139df860.jpg,Ketamine,0.31,"[27.744237899780273, 9.823461532592773, 350.951171875, 171.256103515625]",
dataset\train\images\Ketamine_17_jpg.rf.61147b4b000001ad7700742d9b573c21.jpg,Ketamine,0.90,"[180.8322296142578, 6.480200290679932, 478.58709716796875, 364.40130615234375]",
dataset\train\images\Ketamine_17_jpg.rf.61147b4b000001ad7700742d9b573c21.jpg,Ketamine,0.79,"[7.076306343078613, 0.0, 144.52996826171875, 327.66546630859375]",
dataset\train\images\Ketamine_17_jpg.rf.61147b4b000001ad7700742d9b573c21.jpg,Ketamine,0.76,"[202.3540496826172, 254.76992797851562, 490.5877990722656, 512.0]",
dataset\train\images\Ketamine_17_jpg.rf.61147b4b000001ad7700742d9b573c21.jpg,Ketamine,0.63,"[16.816308975219727, 254.2333526611328, 182.6952667236328, 510.03179931640625]",
dataset\train\images\Ketamine_17_jpg.rf.61147b4b000001ad7700742d9b573c21.jpg,Ketamine,0.50,"[18.564136505126953, 341.2481384277344, 186.5028839111328, 511.68359375]",
dataset\train\images\Ketamine_17_jpg.rf.6718f26103a4f88a10cd554fd2855ed4.jpg,Ketamine,0.91,"[183.24534606933594, 3.967724561691284, 464.79583740234375, 348.63995361328125]",
dataset\train\images\Ketamine_17_jpg.rf.6718f26103a4f88a10cd554fd2855ed4.jpg,Ketamine,0.87,"[169.43545532226562, 252.037353515625, 439.6551818847656, 510.97021484375]",
dataset\train\images\Ketamine_17_jpg.rf.6718f26103a4f88a10cd554fd2855ed4.jpg,Ketamine,0.81,"[6.252612113952637, 0.0, 146.58250427246094, 309.03338623046875]",
dataset\train\images\Ketamine_17_jpg.rf.6718f26103a4f88a10cd554fd2855ed4.jpg,Ketamine,0.73,"[0.5286499261856079, 234.85049438476562, 148.39749145507812, 494.7887268066406]",
dataset\train\images\Ketamine_17_jpg.rf.71557be22e93098b28257e18cc4e27c5.jpg,Ketamine,0.92,"[131.99656677246094, 159.88674926757812, 496.74053955078125, 473.41693115234375]",
dataset\train\images\Ketamine_17_jpg.rf.71557be22e93098b28257e18cc4e27c5.jpg,Ketamine,0.88,"[0.611254870891571, 127.20450592041016, 206.08999633789062, 425.48846435546875]",
dataset\train\images\Ketamine_17_jpg.rf.71557be22e93098b28257e18cc4e27c5.jpg,Ketamine,0.77,"[230.4697265625, 0.0, 506.50726318359375, 143.88253784179688]",
dataset\train\images\Ketamine_17_jpg.rf.71557be22e93098b28257e18cc4e27c5.jpg,Ketamine,0.73,"[31.129932403564453, 0.5367187261581421, 313.4718322753906, 118.81231689453125]",
dataset\train\images\Ketamine_17_jpg.rf.71557be22e93098b28257e18cc4e27c5.jpg,Ketamine,0.48,"[30.122949600219727, 0.0, 320.3846740722656, 168.9586944580078]",
dataset\train\images\Ketamine_17_jpg.rf.71557be22e93098b28257e18cc4e27c5.jpg,Ketamine,0.27,"[229.78189086914062, 174.6013641357422, 491.32269287109375, 485.7369079589844]",
dataset\train\images\Ketamine_17_jpg.rf.98e835a48590f3e969906380172a7b6b.jpg,Ketamine,0.90,"[242.1295928955078, 3.242919921875, 489.4410095214844, 317.60101318359375]",
dataset\train\images\Ketamine_17_jpg.rf.98e835a48590f3e969906380172a7b6b.jpg,Ketamine,0.68,"[261.9117736816406, 297.39129638671875, 495.236083984375, 500.17431640625]",
dataset\train\images\Ketamine_17_jpg.rf.98e835a48590f3e969906380172a7b6b.jpg,Ketamine,0.58,"[2.247021436691284, 53.21148681640625, 338.05810546875, 365.3292541503906]",
dataset\train\images\Ketamine_17_jpg.rf.98e835a48590f3e969906380172a7b6b.jpg,Ketamine,0.50,"[13.927343368530273, 359.3690490722656, 387.33978271484375, 511.611328125]",
dataset\train\images\Ketamine_17_jpg.rf.98e835a48590f3e969906380172a7b6b.jpg,Ketamine,0.40,"[144.7350616455078, 284.3955078125, 497.99200439453125, 504.3573303222656]",
dataset\train\images\Ketamine_17_jpg.rf.98e835a48590f3e969906380172a7b6b.jpg,Ketamine,0.29,"[11.33984375, 366.85504150390625, 286.43218994140625, 511.78436279296875]",
dataset\train\images\Ketamine_17_jpg.rf.98e835a48590f3e969906380172a7b6b.jpg,Ketamine,0.28,"[103.8260726928711, 340.11968994140625, 501.20654296875, 507.8916015625]",
dataset\train\images\Ketamine_17_jpg.rf.af943d6705f0b2e9c35334893c633d10.jpg,Ketamine,0.81,"[13.571069717407227, 0.0, 322.4270935058594, 331.4974670410156]",
dataset\train\images\Ketamine_17_jpg.rf.af943d6705f0b2e9c35334893c633d10.jpg,Ketamine,0.77,"[317.31201171875, 1.4878661632537842, 493.9775390625, 225.62210083007812]",
dataset\train\images\Ketamine_17_jpg.rf.af943d6705f0b2e9c35334893c633d10.jpg,Ketamine,0.70,"[53.73095703125, 252.6745147705078, 366.62091064453125, 498.58038330078125]",
dataset\train\images\Ketamine_17_jpg.rf.af943d6705f0b2e9c35334893c633d10.jpg,Ketamine,0.50,"[357.4363098144531, 188.07608032226562, 508.23419189453125, 439.1036682128906]",
dataset\train\images\Ketamine_17_jpg.rf.cf3a2759df01d74631fb3237ec4f219c.jpg,Ketamine,0.91,"[6.816845893859863, 174.88119506835938, 357.5790100097656, 464.85760498046875]",
dataset\train\images\Ketamine_17_jpg.rf.cf3a2759df01d74631fb3237ec4f219c.jpg,Ketamine,0.85,"[279.42108154296875, 21.238574981689453, 511.2862854003906, 176.7891387939453]",
dataset\train\images\Ketamine_17_jpg.rf.cf3a2759df01d74631fb3237ec4f219c.jpg,Ketamine,0.83,"[280.714599609375, 201.3087921142578, 512.0, 474.0640563964844]",
dataset\train\images\Ketamine_17_jpg.rf.cf3a2759df01d74631fb3237ec4f219c.jpg,Ketamine,0.56,"[10.1947021484375, 164.81674194335938, 251.883544921875, 442.82171630859375]",
dataset\train\images\Ketamine_17_jpg.rf.cf3a2759df01d74631fb3237ec4f219c.jpg,Ketamine,0.54,"[9.376073837280273, 5.721020698547363, 342.97576904296875, 158.52627563476562]",
dataset\train\images\Ketamine_17_jpg.rf.cf3a2759df01d74631fb3237ec4f219c.jpg,Ketamine,0.26,"[9.966748237609863, 2.3599486351013184, 217.4734344482422, 143.28115844726562]",
dataset\train\images\Ketamine_18_jpg.rf.08a208c467960ebd57e8f45524a657fe.jpg,Ketamine,0.95,"[96.20915222167969, 230.2139129638672, 405.6867980957031, 492.34161376953125]",
dataset\train\images\Ketamine_18_jpg.rf.08a208c467960ebd57e8f45524a657fe.jpg,Ketamine,0.90,"[111.0472183227539, 0.0, 418.94915771484375, 315.1285705566406]",
dataset\train\images\Ketamine_18_jpg.rf.08a208c467960ebd57e8f45524a657fe.jpg,Mdma,0.52,"[0.22639159858226776, 185.07498168945312, 52.4161491394043, 302.0475769042969]",
dataset\train\images\Ketamine_18_jpg.rf.08a208c467960ebd57e8f45524a657fe.jpg,Mdma,0.25,"[0.15894165635108948, 184.2499542236328, 53.18182373046875, 367.5828552246094]",
dataset\train\images\Ketamine_18_jpg.rf.1e99abbc85c86715d305fa71c64e5b94.jpg,Ketamine,0.79,"[1.950036644935608, 57.4815788269043, 200.17689514160156, 383.1800231933594]",
dataset\train\images\Ketamine_18_jpg.rf.1e99abbc85c86715d305fa71c64e5b94.jpg,Ketamine,0.71,"[137.4230499267578, 59.2174186706543, 507.4325256347656, 408.342529296875]",
dataset\train\images\Ketamine_18_jpg.rf.1e99abbc85c86715d305fa71c64e5b94.jpg,Ketamine,0.68,"[247.4719696044922, 62.27197265625, 503.05523681640625, 407.60675048828125]",
dataset\train\images\Ketamine_18_jpg.rf.1e99abbc85c86715d305fa71c64e5b94.jpg,Ketamine,0.35,"[139.79232788085938, 53.743919372558594, 365.28302001953125, 399.0499267578125]",
dataset\train\images\Ketamine_18_jpg.rf.3534e73e01fa169d7249222efcb2b9e9.jpg,Ketamine,0.83,"[275.5692443847656, 120.7054214477539, 512.0, 455.24151611328125]",
dataset\train\images\Ketamine_18_jpg.rf.3534e73e01fa169d7249222efcb2b9e9.jpg,Ketamine,0.77,"[18.352855682373047, 44.964012145996094, 238.4413604736328, 352.7752380371094]",
dataset\train\images\Ketamine_18_jpg.rf.3534e73e01fa169d7249222efcb2b9e9.jpg,Ketamine,0.67,"[150.74644470214844, 89.14283752441406, 358.010009765625, 393.59869384765625]",
dataset\train\images\Ketamine_18_jpg.rf.3534e73e01fa169d7249222efcb2b9e9.jpg,Ketamine,0.53,"[193.3857879638672, 106.90643310546875, 512.0, 439.86590576171875]",
dataset\train\images\Ketamine_18_jpg.rf.3534e73e01fa169d7249222efcb2b9e9.jpg,Ketamine,0.37,"[19.097986221313477, 45.208030700683594, 178.46217346191406, 336.7315673828125]",
dataset\train\images\Ketamine_18_jpg.rf.7231a17997ba5aba43c68f72addee830.jpg,Ketamine,0.95,"[150.68832397460938, 268.7740173339844, 419.7085876464844, 511.25408935546875]",
dataset\train\images\Ketamine_18_jpg.rf.7231a17997ba5aba43c68f72addee830.jpg,Ketamine,0.90,"[126.4693832397461, 7.468505859375, 416.0264587402344, 341.3005676269531]",
dataset\train\images\Ketamine_18_jpg.rf.8a1942a42576f1fa8645ed864040930c.jpg,Ketamine,0.83,"[111.75874328613281, 11.491064071655273, 432.0594177246094, 361.5415954589844]",
dataset\train\images\Ketamine_18_jpg.rf.8a1942a42576f1fa8645ed864040930c.jpg,Ketamine,0.79,"[95.4120101928711, 284.93109130859375, 412.15228271484375, 511.716552734375]",
dataset\train\images\Ketamine_18_jpg.rf.95e0d3988654bda60b67432a09340f15.jpg,Ketamine,0.95,"[127.96806335449219, 4.878344535827637, 399.5860900878906, 325.52142333984375]",
dataset\train\images\Ketamine_18_jpg.rf.95e0d3988654bda60b67432a09340f15.jpg,Ketamine,0.93,"[120.44917297363281, 258.945068359375, 361.27301025390625, 504.79425048828125]",
dataset\train\images\Ketamine_18_jpg.rf.95e0d3988654bda60b67432a09340f15.jpg,Ketamine,0.25,"[107.60206604003906, 436.4447326660156, 359.20947265625, 512.0]",
dataset\train\images\Ketamine_18_jpg.rf.9bc8418883864f34e22b1913961cc781.jpg,Ketamine,0.88,"[123.5224609375, 64.67864990234375, 511.1285095214844, 432.070068359375]",
dataset\train\images\Ketamine_18_jpg.rf.9bc8418883864f34e22b1913961cc781.jpg,Ketamine,0.83,"[13.455469131469727, 141.063232421875, 260.75469970703125, 475.77056884765625]",
dataset\train\images\Ketamine_18_jpg.rf.9bc8418883864f34e22b1913961cc781.jpg,Ketamine,0.30,"[219.64071655273438, 54.8272590637207, 507.99639892578125, 409.5201110839844]",
dataset\train\images\Ketamine_18_jpg.rf.ad032f27f65e95fcf5850ca4a79d6827.jpg,Ketamine,0.94,"[136.4973602294922, 226.6784210205078, 449.31622314453125, 504.15277099609375]",
dataset\train\images\Ketamine_18_jpg.rf.ad032f27f65e95fcf5850ca4a79d6827.jpg,Ketamine,0.90,"[78.19926452636719, 0.0, 403.04718017578125, 355.96087646484375]",
dataset\train\images\Ketamine_18_jpg.rf.b2db23352ebd38fe9784b0de63812dea.jpg,Ketamine,0.90,"[127.04521179199219, 257.48638916015625, 444.37445068359375, 506.6160583496094]",
dataset\train\images\Ketamine_18_jpg.rf.b2db23352ebd38fe9784b0de63812dea.jpg,Ketamine,0.73,"[69.17045593261719, 0.0, 419.53839111328125, 381.4007263183594]",
dataset\train\images\Ketamine_18_jpg.rf.c727032f740a1be35da24a70995fc822.jpg,Ketamine,0.89,"[7.037109375, 100.40374755859375, 238.1293487548828, 416.0862731933594]",
dataset\train\images\Ketamine_18_jpg.rf.c727032f740a1be35da24a70995fc822.jpg,Ketamine,0.82,"[174.45010375976562, 76.5218734741211, 511.0518493652344, 414.44219970703125]",
dataset\train\images\Ketamine_18_jpg.rf.c727032f740a1be35da24a70995fc822.jpg,Ketamine,0.46,"[288.1598205566406, 72.56221771240234, 511.69830322265625, 404.2510681152344]",
dataset\train\images\Ketamine_18_jpg.rf.c727032f740a1be35da24a70995fc822.jpg,Ketamine,0.32,"[177.43075561523438, 81.99418640136719, 390.89239501953125, 409.83978271484375]",
dataset\train\images\Ketamine_19_jpg.rf.a9101d4f687fe43a0deff76cc3fc1907.jpg,,,,No objects detected
dataset\train\images\Ketamine_1_jpg.rf.1dba97a59c386b8a5cc5600338738f27.jpg,Ketamine,0.84,"[14.467089653015137, 31.463964462280273, 511.27166748046875, 511.3290100097656]",
dataset\train\images\Ketamine_1_jpg.rf.2b9c72e1239d8a7924f8ab3035d57a97.jpg,Ketamine,0.95,"[15.313867568969727, 11.952295303344727, 504.1708068847656, 496.9833984375]",
dataset\train\images\Ketamine_1_jpg.rf.4190f80b13cf7258f5727a5935004d9d.jpg,Ketamine,0.65,"[51.78715896606445, 28.198095321655273, 507.69354248046875, 501.375244140625]",
dataset\train\images\Ketamine_1_jpg.rf.4d76eb0a8b9a99e04aaa105cd1a2e705.jpg,Ketamine,0.95,"[13.9677734375, 12.747118949890137, 511.25262451171875, 495.5496520996094]",
dataset\train\images\Ketamine_1_jpg.rf.62e9f1b47f41242bf6f30f4cededc764.jpg,Ketamine,0.81,"[20.297460556030273, 32.69975662231445, 512.0, 512.0]",
dataset\train\images\Ketamine_1_jpg.rf.7ceebc6d793fe1824691ffe2c6f9cb06.jpg,Ketamine,0.88,"[36.18217849731445, 7.928955078125, 512.0, 496.413330078125]",
dataset\train\images\Ketamine_1_jpg.rf.7ceebc6d793fe1824691ffe2c6f9cb06.jpg,Ketamine,0.31,"[204.4744110107422, 43.318359375, 509.5140686035156, 495.9725646972656]",
dataset\train\images\Ketamine_1_jpg.rf.8b4f124df8de91175560be09809c4587.jpg,Ketamine,0.78,"[27.6484375, 29.99853515625, 512.0, 512.0]",
dataset\train\images\Ketamine_1_jpg.rf.8b4f124df8de91175560be09809c4587.jpg,Ketamine,0.33,"[185.18679809570312, 27.301563262939453, 512.0, 512.0]",
dataset\train\images\Ketamine_1_jpg.rf.abac4facf700f9be96a6b16a4e33569f.jpg,Ketamine,0.96,"[67.4852523803711, 27.709911346435547, 512.0, 512.0]",
dataset\train\images\Ketamine_1_jpg.rf.b61dd911a4f52333de99ea1cd6b05238.jpg,Ketamine,0.50,"[32.55888748168945, 25.613964080810547, 506.1460876464844, 512.0]",
dataset\train\images\Ketamine_1_jpg.rf.f6ae8dc386e7106fddc8d9c4a32c8b63.jpg,Ketamine,0.77,"[57.831687927246094, 4.977246284484863, 512.0, 495.2413024902344]",
dataset\train\images\Ketamine_1_jpg.rf.f6ae8dc386e7106fddc8d9c4a32c8b63.jpg,Ketamine,0.31,"[0.0, 25.700878143310547, 432.5577087402344, 491.7842712402344]",
dataset\train\images\Ketamine_20_jpg.rf.5e2166358245480e8a4f45c59ba9156d.jpg,Ketamine,0.86,"[210.98477172851562, 73.62226867675781, 458.1083068847656, 510.69549560546875]",
dataset\train\images\Ketamine_20_jpg.rf.5e2166358245480e8a4f45c59ba9156d.jpg,Ketamine,0.75,"[0.0, 2.5607666969299316, 224.29232788085938, 396.2640380859375]",
dataset\train\images\Ketamine_20_jpg.rf.5e2166358245480e8a4f45c59ba9156d.jpg,Ketamine,0.70,"[0.14130859076976776, 53.71049880981445, 216.88388061523438, 506.4871520996094]",
dataset\train\images\Ketamine_20_jpg.rf.5e2166358245480e8a4f45c59ba9156d.jpg,Ketamine,0.59,"[227.39199829101562, 0.0, 471.17535400390625, 417.46856689453125]",
dataset\train\images\Ketamine_21_jpg.rf.bdfa27b7d97067c7febd810d131cf95c.jpg,Ketamine,0.68,"[242.7424774169922, 4.657470703125, 462.68798828125, 184.0640411376953]",
dataset\train\images\Ketamine_21_jpg.rf.bdfa27b7d97067c7febd810d131cf95c.jpg,Ketamine,0.58,"[182.90847778320312, 141.95391845703125, 384.95257568359375, 315.6556701660156]",
dataset\train\images\Ketamine_21_jpg.rf.bdfa27b7d97067c7febd810d131cf95c.jpg,Ketamine,0.41,"[117.4798583984375, 335.75994873046875, 279.5705871582031, 509.1517639160156]",
dataset\train\images\Ketamine_21_jpg.rf.bdfa27b7d97067c7febd810d131cf95c.jpg,Ketamine,0.28,"[329.09033203125, 375.56982421875, 506.4677734375, 511.68341064453125]",
dataset\train\images\Ketamine_21_jpg.rf.bdfa27b7d97067c7febd810d131cf95c.jpg,Ketamine,0.28,"[357.8005065917969, 275.504150390625, 511.2579040527344, 456.27508544921875]",
dataset\train\images\Ketamine_21_jpg.rf.bdfa27b7d97067c7febd810d131cf95c.jpg,Ketamine,0.27,"[174.685546875, 168.0061492919922, 394.9237365722656, 345.809814453125]",
dataset\train\images\Ketamine_21_jpg.rf.bdfa27b7d97067c7febd810d131cf95c.jpg,Ketamine,0.26,"[418.37713623046875, 149.37667846679688, 512.0, 343.8821105957031]",
dataset\train\images\Ketamine_21_jpg.rf.bdfa27b7d97067c7febd810d131cf95c.jpg,Ketamine,0.25,"[295.83868408203125, 0.0, 500.31494140625, 92.11341857910156]",
dataset\train\images\Ketamine_22_jpg.rf.066505b1cb0d2c051ee093d1c78406e9.jpg,Ketamine,0.87,"[2.8857178688049316, 64.1026840209961, 331.55596923828125, 381.3883361816406]",
dataset\train\images\Ketamine_22_jpg.rf.066505b1cb0d2c051ee093d1c78406e9.jpg,Ketamine,0.70,"[240.3472137451172, 177.1650390625, 497.67926025390625, 495.7159729003906]",
dataset\train\images\Ketamine_22_jpg.rf.066505b1cb0d2c051ee093d1c78406e9.jpg,Ketamine,0.36,"[341.00775146484375, 97.1949691772461, 511.432373046875, 488.9004821777344]",
dataset\train\images\Ketamine_22_jpg.rf.066505b1cb0d2c051ee093d1c78406e9.jpg,Ketamine,0.35,"[3.613037109375, 55.365966796875, 217.4197540283203, 356.615966796875]",
dataset\train\images\Ketamine_22_jpg.rf.352e921d3156faa9232b185ab27856a7.jpg,Ketamine,0.88,"[137.21826171875, 111.0069808959961, 492.55816650390625, 439.5061950683594]",
dataset\train\images\Ketamine_22_jpg.rf.352e921d3156faa9232b185ab27856a7.jpg,Ketamine,0.67,"[0.0, 260.7969665527344, 227.32437133789062, 503.57647705078125]",
dataset\train\images\Ketamine_22_jpg.rf.352e921d3156faa9232b185ab27856a7.jpg,Ketamine,0.48,"[9.10723876953125, 0.0, 197.45013427734375, 101.31096649169922]",
dataset\train\images\Ketamine_22_jpg.rf.352e921d3156faa9232b185ab27856a7.jpg,Ketamine,0.36,"[244.0412139892578, 101.70976257324219, 496.6548767089844, 415.6800842285156]",
dataset\train\images\Ketamine_22_jpg.rf.352e921d3156faa9232b185ab27856a7.jpg,Ketamine,0.31,"[0.0, 100.36958312988281, 116.18865966796875, 375.1776428222656]",
dataset\train\images\Ketamine_22_jpg.rf.352e921d3156faa9232b185ab27856a7.jpg,Ketamine,0.28,"[111.65443420410156, 0.7024780511856079, 340.226806640625, 162.78028869628906]",
dataset\train\images\Ketamine_22_jpg.rf.352e921d3156faa9232b185ab27856a7.jpg,Ketamine,0.27,"[10.794897079467773, 0.0, 298.97174072265625, 100.13581848144531]",
dataset\train\images\Ketamine_22_jpg.rf.352e921d3156faa9232b185ab27856a7.jpg,Ketamine,0.27,"[1.471435546875, 101.46772766113281, 228.642578125, 509.76934814453125]",
dataset\train\images\Ketamine_22_jpg.rf.3de7a3b6afdf6d3ac008fff8281fb486.jpg,Ketamine,0.87,"[15.345605850219727, 144.0727081298828, 334.6083984375, 424.7522888183594]",
dataset\train\images\Ketamine_22_jpg.rf.3de7a3b6afdf6d3ac008fff8281fb486.jpg,Ketamine,0.72,"[256.7529296875, 202.67904663085938, 503.39447021484375, 511.05010986328125]",
dataset\train\images\Ketamine_22_jpg.rf.3de7a3b6afdf6d3ac008fff8281fb486.jpg,Ketamine,0.48,"[318.31976318359375, 18.624914169311523, 494.3470764160156, 139.14476013183594]",
dataset\train\images\Ketamine_22_jpg.rf.41856c928fc902a483fb9dd5421fca67.jpg,Ketamine,0.85,"[107.90206146240234, 4.486987113952637, 373.869140625, 355.3709716796875]",
dataset\train\images\Ketamine_22_jpg.rf.41856c928fc902a483fb9dd5421fca67.jpg,Ketamine,0.51,"[5.306103706359863, 278.4624938964844, 329.289306640625, 510.813720703125]",
dataset\train\images\Ketamine_22_jpg.rf.50ca6839cb253da009166a0cd574e2ed.jpg,Ketamine,0.91,"[156.9240264892578, 157.9162139892578, 509.2579040527344, 468.4551696777344]",
dataset\train\images\Ketamine_22_jpg.rf.50ca6839cb253da009166a0cd574e2ed.jpg,Ketamine,0.52,"[1.4097168445587158, 244.29190063476562, 251.26162719726562, 503.1869201660156]",
dataset\train\images\Ketamine_22_jpg.rf.50ca6839cb253da009166a0cd574e2ed.jpg,Ketamine,0.48,"[1.3876221179962158, 86.80220031738281, 244.6163787841797, 503.49249267578125]",
dataset\train\images\Ketamine_22_jpg.rf.50ca6839cb253da009166a0cd574e2ed.jpg,Ketamine,0.31,"[269.1533203125, 173.2493133544922, 511.8290100097656, 454.4776916503906]",
